,Date,Open,High,Low,Close*,Adj Close**,Volume
800,"Apr 09, 2020",856.57,868.19,848.50,856.78,856.78,"7,889,100"
801,"Apr 08, 2020",829.16,846.57,824.25,844.68,844.68,"596,096,100"
802,"Apr 07, 2020",842.82,847.12,819.34,821.32,821.32,"821,751,600"
803,"Apr 06, 2020",781.36,813.46,778.11,811.31,811.31,"7,408,900"
804,"Apr 03, 2020",760.55,763.97,744.26,753.09,753.09,"6,763,200"
805,"Apr 02, 2020",757.42,774.28,749.03,764.32,764.32,"7,832,500"
806,"Apr 01, 2020",767.60,778.28,755.22,761.66,761.66,"7,188,100"
807,"Mar 31, 2020",803.30,813.57,791.48,793.11,793.11,"765,250,300"
808,"Mar 30, 2020",794.37,809.81,783.07,807.52,807.52,"5,223,900"
809,"Mar 27, 2020",794.15,810.01,782.17,790.18,790.18,"6,002,800"
810,"Mar 26, 2020",792.23,819.91,789.44,817.74,817.74,"7,463,900"
811,"Mar 25, 2020",786.13,812.67,768.28,784.01,784.01,"851,621,400"
812,"Mar 24, 2020",750.79,775.85,749.39,775.51,775.51,"786,418,600"
813,"Mar 23, 2020",702.26,726.82,689.34,713.84,713.84,"712,113,000"
814,"Mar 20, 2020",746.16,761.27,708.68,711.34,711.34,"7,928,300"
815,"Mar 19, 2020",706.04,751.90,684.01,731.19,731.19,"6,997,200"
816,"Mar 18, 2020",710.14,719.21,663.43,707.13,707.13,"7,871,200"
817,"Mar 17, 2020",733.74,760.29,692.69,743.78,743.78,"708,610,500"
818,"Mar 16, 2020",743.82,764.82,713.17,714.98,714.98,"6,594,700"
819,"Mar 13, 2020",794.27,813.26,763.12,813.24,813.24,"6,876,500"
820,"Mar 12, 2020",807.13,813.06,765.93,766.60,766.60,"6,564,700"
821,"Mar 11, 2020",879.89,879.89,841.85,849.84,849.84,"580,185,600"
822,"Mar 10, 2020",878.73,898.01,852.24,897.98,897.98,"5,556,300"
823,"Mar 09, 2020",859.98,877.64,845.50,852.13,852.13,"5,317,200"
824,"Mar 06, 2020",898.57,912.93,888.86,908.30,908.30,"508,824,300"
825,"Mar 05, 2020",939.69,940.92,915.28,921.33,921.33,"432,395,700"
826,"Mar 04, 2020",939.14,957.85,930.16,957.38,957.38,"398,489,300"
827,"Mar 03, 2020",951.33,963.69,916.66,925.78,925.78,"476,104,600"
828,"Mar 02, 2020",920.95,947.85,906.80,947.78,947.78,"460,419,600"
829,"Feb 28, 2020",900.17,917.54,889.83,915.77,915.77,"5,673,800"
830,"Feb 27, 2020",942.72,961.46,922.71,922.88,922.88,"5,293,800"
831,"Feb 26, 2020",972.93,983.73,959.59,962.01,962.01,"4,306,700"
832,"Feb 25, 2020","1,000.02","1,005.35",966.44,968.73,968.73,"421,776,300"
833,"Feb 24, 2020","1,000.76","1,004.52",989.59,994.64,994.64,"3,839,900"
834,"Feb 21, 2020","1,043.05","1,044.23","1,028.13","1,031.02","1,031.02","2,537,000"
835,"Feb 20, 2020","1,047.59","1,051.11","1,035.35","1,048.16","1,048.16","2,562,100"
836,"Feb 19, 2020","1,047.34","1,052.19","1,046.81","1,048.28","1,048.28","2,304,800"
837,"Feb 18, 2020","1,039.82","1,046.13","1,036.90","1,043.39","1,043.39","259,682,700"
838,"Feb 14, 2020","1,047.22","1,048.18","1,039.88","1,042.54","1,042.54","2,259,600"
839,"Feb 13, 2020","1,041.36","1,049.13","1,039.74","1,044.33","1,044.33","256,548,600"
840,"Feb 12, 2020","1,042.06","1,048.04","1,041.33","1,046.86","1,046.86","3,204,200"
841,"Feb 11, 2020","1,033.05","1,042.22","1,030.62","1,036.64","1,036.64","3,118,700"
842,"Feb 10, 2020","1,015.81","1,028.78","1,015.66","1,028.76","1,028.76","2,485,500"
843,"Feb 07, 2020","1,014.20","1,021.27","1,011.05","1,016.00","1,016.00","3,024,000"
844,"Feb 06, 2020","1,022.71","1,022.71","1,018.43","1,018.97","1,018.97","2,793,100"
845,"Feb 05, 2020","1,022.54","1,023.86","1,013.72","1,020.57","1,020.57","390,013,400"
846,"Feb 04, 2020","1,009.65","1,019.85","1,009.30","1,015.54","1,015.54","3,423,100"
847,"Feb 03, 2020",997.10,"1,011.07",997.10,997.96,997.96,"297,061,900"
848,"Jan 31, 2020","1,011.13","1,011.46",989.87,992.01,992.01,"341,655,600"
849,"Jan 30, 2020",978.37,984.56,975.71,983.92,983.92,"2,604,700"
850,"Jan 29, 2020",987.49,992.43,984.05,984.65,984.65,"275,050,900"
851,"Jan 28, 2020",979.40,988.71,976.59,985.22,985.22,"2,773,500"
852,"Jan 27, 2020",970.69,980.47,967.86,975.64,975.64,"2,769,700"
853,"Jan 24, 2020","1,006.19","1,006.91",985.94,990.75,990.75,"2,501,500"
854,"Jan 23, 2020",999.31,"1,005.61",993.22,"1,004.12","1,004.12","2,632,200"
855,"Jan 22, 2020","1,007.58","1,010.82","1,002.19","1,002.92","1,002.92","2,000,700"
856,"Jan 21, 2020","1,001.66","1,004.32",997.45,"1,003.97","1,003.97","2,749,900"
857,"Jan 17, 2020","1,004.89","1,007.17","1,003.60","1,005.68","1,005.68","2,334,900"
858,"Jan 16, 2020",999.89,"1,002.90",998.90,"1,002.85","1,002.85","2,103,400"
859,"Jan 15, 2020",994.43,997.68,991.42,993.95,993.95,"2,418,300"
860,"Jan 14, 2020",996.04,999.44,993.80,996.51,996.51,"2,026,000"
861,"Jan 13, 2020",996.55,999.09,993.64,997.67,997.67,"2,083,300"
862,"Jan 10, 2020","1,001.63","1,001.63",993.26,994.48,994.48,"2,084,600"
863,"Jan 09, 2020",999.39,"1,003.75",997.45,999.92,999.92,"2,714,500"
864,"Jan 08, 2020",991.48,"1,000.49",990.95,994.37,994.37,"2,622,800"
865,"Jan 07, 2020",992.75,994.83,988.52,992.87,992.87,"2,436,900"
866,"Jan 06, 2020",983.76,994.17,983.29,994.12,994.12,"2,425,100"
867,"Jan 03, 2020",986.00,993.41,985.95,990.50,990.50,"2,114,700"
868,"Jan 02, 2020",993.05,999.01,989.11,999.01,999.01,"2,426,500"
869,"Dec 31, 2019",983.04,986.88,981.60,986.29,986.29,"1,584,400"
870,"Dec 30, 2019",992.64,993.59,982.99,984.82,984.82,"1,649,800"
871,"Dec 27, 2019",994.90,997.74,990.41,991.94,991.94,"1,460,800"
872,"Dec 26, 2019",979.80,991.52,979.80,991.42,991.42,"1,393,700"
873,"Dec 24, 2019",976.30,978.67,976.30,977.43,977.43,"715,100"
874,"Dec 23, 2019",978.69,979.27,975.30,976.16,976.16,"1,951,300"
875,"Dec 20, 2019",979.35,979.70,976.33,977.43,977.43,"3,935,000"
876,"Dec 19, 2019",972.09,976.78,970.80,976.28,976.28,"2,400,500"
877,"Dec 18, 2019",974.66,975.94,971.71,972.81,972.81,"2,628,600"
878,"Dec 17, 2019",969.41,973.50,969.41,972.84,972.84,"2,273,500"
879,"Dec 16, 2019",967.04,969.55,965.66,967.51,967.51,"2,643,000"
880,"Dec 13, 2019",963.82,965.28,958.92,963.40,963.40,"2,192,600"
881,"Dec 12, 2019",956.22,964.91,954.86,963.02,963.02,"2,551,900"
882,"Dec 11, 2019",953.05,955.02,949.58,954.67,954.67,"1,941,500"
883,"Dec 10, 2019",954.18,955.80,950.47,951.86,951.86,"1,967,100"
884,"Dec 09, 2019",952.52,957.38,952.35,953.89,953.89,"2,101,800"
885,"Dec 06, 2019",952.13,955.14,952.13,953.20,953.20,"2,145,600"
886,"Dec 05, 2019",950.18,950.24,944.01,945.56,945.56,"2,092,400"
