,Date,Open,High,Low,Close*,Adj Close**,Volume
862,"Dec 24, 2019",457.28,459.03,456.27,457.06,457.06,"58,785,100"
863,"Dec 23, 2019",452.48,457.63,451.67,457.28,457.28,"155,110,800"
864,"Dec 20, 2019",448.55,453.32,448.55,452.48,452.48,"284,772,400"
865,"Dec 19, 2019",448.83,449.95,447.83,448.55,448.55,"150,368,600"
866,"Dec 18, 2019",447.47,451.65,446.73,448.83,448.83,"177,143,800"
867,"Dec 17, 2019",447.64,451.24,445.6,447.47,447.47,"174,984,300"
868,"Dec 16, 2019",441.35,448.68,441.35,447.64,447.64,"176,721,100"
869,"Dec 13, 2019",445.4,448.92,440.99,441.35,441.35,"146,914,000"
870,"Dec 12, 2019",436.81,446.14,436.79,445.4,445.4,"172,687,200"
871,"Dec 11, 2019",437.49,439.81,435.96,436.81,436.81,"144,767,500"
872,"Dec 10, 2019",436.83,439.21,435.6,437.49,437.49,"145,503,700"
873,"Dec 09, 2019",437.91,438.91,433.93,436.83,436.83,"149,525,600"
874,"Dec 06, 2019",429.34,438.85,429.34,437.91,437.91,"164,474,400"
875,"Dec 05, 2019",431.48,433.66,428.04,429.34,429.34,"147,067,000"
876,"Dec 04, 2019",427.64,432.73,427.42,431.48,431.48,"166,088,700"
877,"Dec 03, 2019",427.47,427.88,423.57,424.81,424.81,"184,598,600"
878,"Dec 02, 2019",433.55,435.86,431.23,431.49,431.49,"172,468,500"
879,"Nov 29, 2019",432.57,433.86,430.07,431.37,431.37,"81,178,900"
880,"Nov 27, 2019",434.8,436.76,432.38,435.78,435.78,"126,802,600"
881,"Nov 26, 2019",438.78,438.84,433.35,434.42,434.42,"219,775,400"
882,"Nov 25, 2019",437.86,439.43,436.13,438.86,438.86,"160,210,400"
883,"Nov 22, 2019",440.26,442.53,437.7,438.15,438.15,"137,918,100"
884,"Nov 21, 2019",433.44,440.21,432.59,439.68,439.68,"160,224,000"
885,"Nov 20, 2019",428.28,435.65,425.47,432.61,432.61,"180,265,400"
886,"Nov 19, 2019",433.57,433.57,427.71,428.17,428.17,"155,103,900"
887,"Nov 18, 2019",437.35,437.49,433.01,434.57,434.57,"155,486,800"
888,"Nov 15, 2019",437.5,441.71,437.5,440.43,440.43,"154,707,800"
889,"Nov 14, 2019",438.79,441.1,436.09,437.5,437.5,"138,111,900"
890,"Nov 13, 2019",441.05,441.05,437.25,438.79,438.79,"142,904,900"
891,"Nov 12, 2019",443.65,447.13,438.72,441.05,441.05,"149,249,400"
892,"Nov 11, 2019",446.13,446.13,440.33,443.65,443.65,"123,467,800"
