Date,Price,Open,High,Low,Vol.,Change %
06/27/2018,199.87,200.78,201.68,199.87,,-0.28%
06/26/2018,200.44,199.58,201.25,198.99,,0.51%
06/25/2018,199.43,199.81,200.21,198.2,,-0.18%
06/22/2018,199.79,198.57,200.02,197.58,,0.79%
06/21/2018,198.23,196.96,198.41,196.68,,0.62%
06/20/2018,197.0,195.05,197.19,194.94,,1.09%
06/19/2018,194.87,194.0,195.93,194.0,,0.09%
06/18/2018,194.69,194.7,195.2,193.59,,-0.16%
06/15/2018,195.0,195.42,196.6,194.73,,-0.14%
06/14/2018,195.27,193.85,196.02,193.85,,0.84%
06/13/2018,193.65,198.11,198.31,193.48,,-2.32%
06/12/2018,198.25,196.82,198.66,196.32,,0.58%
06/11/2018,197.11,197.33,197.81,196.87,,-0.13%
06/08/2018,197.36,196.45,197.37,196.16,,0.46%
06/07/2018,196.46,196.68,197.0,195.4,,-0.13%
06/06/2018,196.71,196.08,196.71,195.23,,0.32%
06/05/2018,196.09,197.19,197.76,195.8,,-0.48%
06/04/2018,197.03,195.67,197.03,194.96,,0.97%
06/01/2018,195.13,194.27,195.53,193.86,,0.40%
05/31/2018,194.35,194.25,194.97,193.5,,-0.35%
05/30/2018,195.04,192.28,195.73,191.84,,1.37%
05/29/2018,192.4,191.49,193.08,190.85,,0.25%
05/25/2018,191.92,191.25,192.74,191.25,,0.45%
05/24/2018,191.06,192.05,192.53,190.11,,-0.40%
05/23/2018,191.82,190.38,192.38,190.25,,0.81%
05/22/2018,190.27,189.99,190.45,189.16,,0.11%
05/21/2018,190.07,188.67,190.51,187.31,,1.02%
05/18/2018,188.15,187.98,189.07,187.36,,0.10%
05/17/2018,187.97,188.96,189.1,187.54,,-0.51%
05/16/2018,188.93,190.09,190.58,188.66,,-0.44%
05/15/2018,189.76,192.09,192.09,189.19,,-1.67%
05/14/2018,192.98,194.35,194.53,192.0,,-0.72%
05/11/2018,194.38,195.58,196.11,194.13,,-0.49%
05/10/2018,195.33,194.24,195.67,194.24,,0.96%
05/09/2018,193.47,192.14,193.5,191.55,,0.73%
05/08/2018,192.07,193.14,193.15,191.4,,-0.68%
05/07/2018,193.39,193.32,193.72,192.56,,0.12%
05/04/2018,193.15,190.87,193.71,190.82,,1.08%
05/03/2018,191.09,190.7,191.8,190.28,,-0.09%
05/02/2018,191.26,190.85,192.03,190.04,,-0.33%
05/01/2018,191.89,190.89,192.1,190.25,,0.68%
04/30/2018,190.59,190.86,192.1,190.36,,-0.38%
04/27/2018,191.32,188.08,191.94,188.08,,1.32%
04/26/2018,188.83,187.22,189.93,186.96,,1.25%
04/25/2018,186.5,186.73,187.27,185.38,,-0.34%
04/24/2018,187.14,187.24,188.04,186.14,,0.16%
04/23/2018,186.85,186.94,187.55,185.98,,0.16%
04/20/2018,186.55,188.5,188.84,186.28,,-0.88%
04/19/2018,188.21,191.11,191.11,186.99,,-1.67%
