,Open,High,Low,Close*,Adj Close**,Volume,Date1,Difference
442,362.68,367.21,359.53,365.28,365.28,"134,732,900",2021-08-25,2.599999999999966
443,356.92,364.4,356.92,362.68,362.68,"155,085,300",2021-08-24,5.759999999999991
444,343.95,357.84,343.95,356.92,356.92,"164,988,100",2021-08-23,12.970000000000027
445,342.99,346.05,338.73,343.95,343.95,"168,375,000",2021-08-20,0.9599999999999795
446,352.34,352.34,338.39,342.99,342.99,"245,727,000",2021-08-19,-9.349999999999966
447,361.0,362.42,351.94,352.34,352.34,"161,565,000",2021-08-18,-8.660000000000025
448,364.35,366.54,357.65,361.0,361.0,"152,389,400",2021-08-17,-3.3500000000000227
449,371.14,371.14,361.56,364.35,364.35,"156,146,700",2021-08-16,-6.789999999999964
450,375.97,375.97,370.69,371.14,371.14,"128,157,700",2021-08-13,-4.830000000000041
451,377.82,378.12,371.67,375.97,375.97,"120,219,600",2021-08-12,-1.849999999999966
452,375.0,378.51,371.89,377.82,377.82,"138,221,200",2021-08-11,2.819999999999993
453,368.66,375.94,368.66,375.0,375.0,"157,670,100",2021-08-10,6.339999999999975
454,374.19,374.19,366.21,368.66,368.66,"147,569,200",2021-08-09,-5.529999999999973
455,370.75,376.69,370.75,374.19,374.19,"137,023,400",2021-08-06,3.4399999999999977
456,366.06,374.98,366.06,370.75,370.75,"163,037,200",2021-08-05,4.689999999999998
457,377.11,377.11,365.95,366.06,366.06,"215,490,400",2021-08-04,-11.050000000000011
458,370.33,377.44,365.84,377.11,377.11,"184,655,700",2021-08-03,6.78000000000003
459,372.99,382.5,369.98,370.33,370.33,"179,761,400",2021-08-02,-2.660000000000025
460,379.67,379.96,371.01,372.99,372.99,"189,516,900",2021-07-30,-6.680000000000007
461,376.15,382.26,376.15,379.67,379.67,"144,133,800",2021-07-29,3.5200000000000387
462,372.54,379.04,370.48,376.15,376.15,"151,168,700",2021-07-28,3.609999999999957
463,376.34,376.34,368.41,372.54,372.54,"156,758,700",2021-07-27,-3.7999999999999545
464,367.17,377.64,367.17,376.34,376.34,"162,147,300",2021-07-26,9.169999999999959
465,368.77,368.77,363.57,367.17,367.17,"156,066,900",2021-07-23,-1.599999999999966
466,372.98,372.98,365.8,368.77,368.77,"147,906,000",2021-07-22,-4.210000000000036
467,360.26,375.89,360.26,372.98,372.98,"205,604,800",2021-07-21,12.720000000000027
468,355.36,363.92,352.91,360.26,360.26,"208,235,500",2021-07-20,4.899999999999977
469,368.6,368.6,350.69,355.36,355.36,"276,234,200",2021-07-19,-13.240000000000009
470,379.08,381.78,367.74,368.6,368.6,"190,516,300",2021-07-16,-10.479999999999961
471,384.51,384.96,377.55,379.08,379.08,"177,063,100",2021-07-15,-5.430000000000007
472,396.15,401.97,383.11,384.51,384.51,"189,516,100",2021-07-14,-11.639999999999986
473,398.98,399.7,393.79,396.15,396.15,"131,574,400",2021-07-13,-2.830000000000041
474,399.42,401.46,392.55,398.98,398.98,"132,687,700",2021-07-12,-0.4399999999999977
475,391.55,400.0,391.55,399.42,399.42,"150,317,100",2021-07-09,7.8700000000000045
476,393.37,395.12,385.62,391.55,391.55,"168,454,600",2021-07-08,-1.8199999999999932
477,400.28,403.26,389.48,393.37,393.37,"176,856,200",2021-07-07,-6.909999999999968
478,413.52,413.52,398.71,400.28,400.28,"202,825,300",2021-07-06,-13.240000000000009
479,414.36,414.95,409.28,413.52,413.52,"127,062,000",2021-07-02,-0.8400000000000318
480,407.37,417.85,407.37,414.36,414.36,"197,061,900",2021-07-01,6.990000000000009
481,402.1,408.39,402.1,407.37,407.37,"175,450,700",2021-06-30,5.269999999999982
482,404.13,408.8,401.81,402.1,402.1,"144,972,900",2021-06-29,-2.0299999999999727
483,418.03,418.03,402.75,404.13,404.13,"178,839,600",2021-06-28,-13.899999999999977
484,416.07,418.44,414.98,418.03,418.03,"195,050,900",2021-06-25,1.9599999999999795
485,412.55,416.47,410.76,416.07,416.07,"141,140,400",2021-06-24,3.519999999999982
486,411.46,419.92,411.46,412.55,412.55,"171,724,300",2021-06-23,1.0900000000000318
487,408.73,413.17,403.58,411.46,411.46,"148,120,700",2021-06-22,2.7299999999999613
488,391.92,409.4,391.92,408.73,408.73,"183,196,400",2021-06-21,16.810000000000002
489,403.71,403.71,391.77,391.92,391.92,"317,188,400",2021-06-18,-11.789999999999964
490,418.31,420.41,398.6,403.71,403.71,"254,140,000",2021-06-17,-14.600000000000023
491,420.34,422.76,414.42,418.31,418.31,"202,052,200",2021-06-16,-2.0299999999999727
492,411.85,421.03,411.85,420.34,420.34,"180,892,900",2021-06-15,8.489999999999952
493,413.47,417.7,408.71,411.85,411.85,"169,233,200",2021-06-14,-1.6200000000000045
494,415.02,418.72,413.1,413.47,413.47,"146,131,100",2021-06-11,-1.5499999999999545
495,415.56,423.12,410.86,415.02,415.02,"183,685,100",2021-06-10,-0.5400000000000205
496,417.89,421.03,415.42,415.56,415.56,"184,641,200",2021-06-09,-2.329999999999984
497,414.25,418.81,408.19,417.89,417.89,"189,583,300",2021-06-08,3.6399999999999864
498,415.85,418.44,413.72,414.25,414.25,"137,818,800",2021-06-07,-1.6000000000000227
499,413.47,417.76,410.09,415.85,415.85,"171,827,300",2021-06-04,2.3799999999999955
500,412.19,415.63,408.17,413.47,413.47,"238,792,500",2021-06-03,1.2800000000000296
501,405.14,414.11,402.68,412.19,412.19,"241,115,200",2021-06-02,7.050000000000011
502,389.82,405.73,389.82,405.14,405.14,"274,933,300",2021-06-01,15.319999999999993
503,389.54,391.44,388.0,389.82,389.82,"146,932,500",2021-05-28,0.2799999999999727
504,389.32,394.19,387.05,389.54,389.54,"274,893,400",2021-05-27,0.22000000000002728
505,385.73,390.5,384.31,389.32,389.32,"182,053,800",2021-05-26,3.589999999999975
506,393.76,393.76,385.13,385.73,385.73,"197,675,400",2021-05-25,-8.029999999999973
507,389.91,394.67,388.29,393.76,393.76,"195,009,000",2021-05-24,3.849999999999966
508,389.17,395.53,389.17,389.91,389.91,"159,298,100",2021-05-21,0.7400000000000091
509,389.63,390.94,383.89,389.17,389.17,"170,237,300",2021-05-20,-0.45999999999997954
510,399.72,399.72,384.66,389.63,389.63,"208,311,700",2021-05-19,-10.090000000000032
511,410.53,410.81,399.13,399.72,399.72,"205,654,200",2021-05-18,-10.809999999999945
512,401.29,410.66,399.3,410.53,410.53,"201,228,100",2021-05-17,9.239999999999952
513,389.01,402.62,389.01,401.29,401.29,"199,382,600",2021-05-14,12.28000000000003
514,394.33,396.42,384.24,389.01,389.01,"201,175,500",2021-05-13,-5.319999999999993
515,394.09,405.98,392.69,394.33,394.33,"243,725,900",2021-05-12,0.2400000000000091
516,404.45,404.45,390.97,394.09,394.09,"232,143,100",2021-05-11,-10.360000000000014
517,404.65,415.73,404.34,404.45,404.45,"221,109,500",2021-05-10,-0.19999999999998863
518,397.15,405.02,392.03,404.65,404.65,"219,105,800",2021-05-07,7.5
519,395.24,397.23,387.87,397.15,397.15,"197,325,700",2021-05-06,1.9099999999999682
520,382.51,396.35,382.51,395.24,395.24,"174,805,400",2021-05-05,12.730000000000018
521,382.43,385.66,378.34,382.51,382.51,"206,395,300",2021-05-04,0.07999999999998408
522,371.6,383.19,371.6,382.43,382.43,"218,802,900",2021-05-03,10.829999999999984
523,381.98,381.98,371.27,371.6,371.6,"201,633,500",2021-04-30,-10.379999999999995
524,377.8,386.6,377.46,381.98,381.98,"195,876,700",2021-04-29,4.180000000000007
525,365.57,379.38,365.57,377.8,377.8,"213,854,900",2021-04-28,12.230000000000018
526,361.03,366.81,360.98,365.57,365.57,"166,516,700",2021-04-27,4.5400000000000205
527,358.74,363.71,358.2,361.03,361.03,"149,180,700",2021-04-26,2.2899999999999636
