DATE,CSCICP03USM665S_NBD19600101
1989-05-01,98.98179
1989-06-01,98.94970
1989-07-01,98.99864
1989-08-01,99.08025
1989-09-01,99.23303
1989-10-01,99.21579
1989-11-01,99.09102
1989-12-01,99.01649
1990-01-01,99.01385
1990-02-01,98.99570
1990-03-01,99.06501
1990-04-01,99.11775
1990-05-01,98.98725
1990-06-01,98.70023
1990-07-01,98.21541
1990-08-01,97.43752
1990-09-01,96.69021
1990-10-01,96.09294
1990-11-01,95.88084
1990-12-01,95.94532
1991-01-01,96.29549
1991-02-01,96.93431
1991-03-01,97.66279
1991-04-01,97.86855
1991-05-01,97.85141
1991-06-01,97.91710
1991-07-01,97.97886
1991-08-01,97.94293
1991-09-01,97.74173
1991-10-01,97.26297
1991-11-01,96.66959
1991-12-01,96.32047
1992-01-01,96.27147
1992-02-01,96.51778
1992-03-01,96.95970
1992-04-01,97.31076
1992-05-01,97.51064
1992-06-01,97.51653
1992-07-01,97.34078
1992-08-01,97.18745
1992-09-01,97.17691
1992-10-01,97.43976
1992-11-01,98.06804
1992-12-01,98.57931
1993-01-01,98.71308
1993-02-01,98.59636
1993-03-01,98.40801
1993-04-01,98.17487
1993-05-01,97.87706
1993-06-01,97.64546
1993-07-01,97.43029
1993-08-01,97.37512
1993-09-01,97.49784
1993-10-01,97.78137
1993-11-01,98.12222
1993-12-01,98.61686
1994-01-01,99.04277
1994-02-01,99.19489
1994-03-01,99.18400
1994-04-01,99.15397
1994-05-01,99.09080
1994-06-01,98.98328
1994-07-01,98.90991
1994-08-01,98.95641
1994-09-01,99.02793
1994-10-01,99.12308
1994-11-01,99.23872
1994-12-01,99.41721
1995-01-01,99.50023
1995-02-01,99.36582
1995-03-01,99.14217
1995-04-01,99.04522
1995-05-01,99.03242
1995-06-01,99.16086
1995-07-01,99.27955
1995-08-01,99.24522
1995-09-01,99.00553
1995-10-01,98.84708
1995-11-01,98.76839
1995-12-01,98.79268
1996-01-01,98.80915
1996-02-01,98.88109
1996-03-01,99.02755
1996-04-01,99.05647
1996-05-01,99.03562
1996-06-01,99.14486
1996-07-01,99.30528
1996-08-01,99.42613
1996-09-01,99.51742
1996-10-01,99.64036
1996-11-01,99.74485
1996-12-01,99.76020
1997-01-01,99.81121
1997-02-01,99.92980
1997-03-01,100.06332
1997-04-01,100.22903
1997-05-01,100.41625
1997-06-01,100.58683
1997-07-01,100.70162
1997-08-01,100.70430
1997-09-01,100.71525
1997-10-01,100.70831
1997-11-01,100.68981
1997-12-01,100.65798
1998-01-01,100.81147
1998-02-01,100.97561
1998-03-01,100.98322
1998-04-01,100.96164
1998-05-01,100.86207
1998-06-01,100.74239
1998-07-01,100.60549
1998-08-01,100.41210
1998-09-01,100.17018
1998-10-01,100.03337
1998-11-01,100.12734
1998-12-01,100.27101
1999-01-01,100.51190
1999-02-01,100.72121
1999-03-01,100.75668
1999-04-01,100.75184
1999-05-01,100.79567
1999-06-01,100.80684
1999-07-01,100.75102
1999-08-01,100.68913
1999-09-01,100.67877
1999-10-01,100.65808
1999-11-01,100.77659
1999-12-01,100.94106
2000-01-01,101.17185
2000-02-01,101.22475
2000-03-01,101.14380
2000-04-01,101.12526
2000-05-01,101.09995
2000-06-01,101.00104
2000-07-01,100.96756
2000-08-01,100.93268
2000-09-01,100.88282
2000-10-01,100.77377
2000-11-01,100.52124
2000-12-01,99.99114
2001-01-01,99.46583
2001-02-01,99.08190
2001-03-01,98.91621
2001-04-01,98.88299
2001-05-01,99.00643
2001-06-01,99.08578
2001-07-01,98.99939
2001-08-01,98.69658
2001-09-01,98.26028
2001-10-01,98.10298
2001-11-01,98.25135
2001-12-01,98.61040
2002-01-01,98.95761
2002-02-01,99.16561
2002-03-01,99.35369
2002-04-01,99.40667
2002-05-01,99.38050
2002-06-01,99.12870
2002-07-01,98.79160
2002-08-01,98.51379
2002-09-01,98.27076
2002-10-01,98.08728
2002-11-01,98.10239
2002-12-01,98.09984
2003-01-01,97.92041
2003-02-01,97.76126
2003-03-01,97.84487
2003-04-01,98.28131
2003-05-01,98.71160
2003-06-01,98.86858
2003-07-01,98.87089
2003-08-01,98.78098
2003-09-01,98.74535
2003-10-01,98.89446
2003-11-01,99.18839
