,Date,Open,High,Low,Close*,Adj Close**,Volume
44,"Apr 16, 2023",100.87,100.87,100.87,100.87,100.87,-
45,"Apr 15, 2023",100.87,100.87,100.87,100.87,100.87,-
46,"Apr 14, 2023",100.87,100.87,100.87,100.87,100.87,-
47,"Apr 13, 2023",101.08,101.08,101.08,101.08,101.08,-
48,"Apr 12, 2023",101.14,101.14,101.14,101.14,101.14,-
49,"Apr 11, 2023",85.68,85.68,85.68,85.68,85.68,-
50,"Apr 10, 2023",85.80,85.80,85.80,85.80,85.80,-
51,"Apr 09, 2023",84.41,84.41,84.41,84.41,84.41,-
52,"Apr 08, 2023",84.41,84.41,84.41,84.41,84.41,-
53,"Apr 07, 2023",84.41,84.41,84.41,84.41,84.41,-
54,"Apr 06, 2023",85.27,85.27,85.27,85.27,85.27,-
55,"Apr 05, 2023",86.31,86.31,86.31,86.31,86.31,-
56,"Apr 04, 2023",84.80,84.80,84.80,84.80,84.80,-
57,"Apr 03, 2023",87.72,87.72,87.72,87.72,87.72,-
58,"Apr 02, 2023",86.41,86.41,86.41,86.41,86.41,-
59,"Apr 01, 2023",86.41,86.41,86.41,86.41,86.41,-
60,"Mar 31, 2023",86.41,86.41,86.41,86.41,86.41,-
61,"Mar 30, 2023",87.11,87.11,87.11,87.11,87.11,-
62,"Mar 29, 2023",87.12,87.12,87.12,87.12,87.12,-
63,"Mar 28, 2023",86.27,86.27,86.27,86.27,86.27,-
64,"Mar 27, 2023",85.24,85.24,85.24,85.24,85.24,-
65,"Mar 26, 2023",84.80,84.80,84.80,84.80,84.80,-
66,"Mar 25, 2023",84.80,84.80,84.80,84.80,84.80,-
67,"Mar 24, 2023",84.80,84.80,84.80,84.80,84.80,-
68,"Mar 23, 2023",83.92,83.92,83.92,83.92,83.92,-
69,"Mar 22, 2023",89.29,89.29,89.29,89.29,89.29,-
70,"Mar 21, 2023",88.24,88.24,88.24,88.24,88.24,-
71,"Mar 20, 2023",88.91,88.91,88.91,88.91,88.91,-
72,"Mar 19, 2023",88.78,88.78,88.78,88.78,88.78,-
73,"Mar 18, 2023",88.78,88.78,88.78,88.78,88.78,-
74,"Mar 17, 2023",88.78,88.78,88.78,88.78,88.78,-
75,"Mar 16, 2023",88.52,88.52,88.52,88.52,88.52,-
76,"Mar 15, 2023",90.50,90.50,90.50,90.50,90.50,-
77,"Mar 14, 2023",90.59,90.59,90.59,90.59,90.59,-
78,"Mar 13, 2023",87.04,87.04,87.04,87.04,87.04,-
79,"Mar 12, 2023",86.85,86.85,86.85,86.85,86.85,-
80,"Mar 11, 2023",86.85,86.85,86.85,86.85,86.85,-
81,"Mar 10, 2023",86.85,86.85,86.85,86.85,86.85,-
82,"Mar 09, 2023",89.44,89.44,89.44,89.44,89.44,-
83,"Mar 08, 2023",90.42,90.42,90.42,90.42,90.42,-
84,"Mar 07, 2023",90.44,90.44,90.44,90.44,90.44,-
85,"Mar 06, 2023",89.95,89.95,89.95,89.95,89.95,-
86,"Mar 05, 2023",90.01,90.01,90.01,90.01,90.01,-
87,"Mar 04, 2023",90.01,90.01,90.01,90.01,90.01,-
88,"Mar 03, 2023",90.01,90.01,90.01,90.01,90.01,-
89,"Mar 02, 2023",89.42,89.42,89.42,89.42,89.42,-
90,"Mar 01, 2023",88.67,88.67,88.67,88.67,88.67,-
91,"Feb 28, 2023",88.97,88.97,88.97,88.97,88.97,-
92,"Feb 27, 2023",88.48,88.48,88.48,88.48,88.48,-
93,"Feb 26, 2023",89.27,89.27,89.27,89.27,89.27,-
94,"Feb 25, 2023",89.27,89.27,89.27,89.27,89.27,-
95,"Feb 24, 2023",89.27,89.27,89.27,89.27,89.27,-
96,"Feb 23, 2023",89.53,89.53,89.53,89.53,89.53,-
97,"Feb 22, 2023",88.78,88.78,88.78,88.78,88.78,-
98,"Feb 21, 2023",88.91,88.91,88.91,88.91,88.91,-
99,"Feb 20, 2023",89.02,89.02,89.02,89.02,89.02,-
100,"Feb 19, 2023",89.02,89.02,89.02,89.02,89.02,-
101,"Feb 18, 2023",89.02,89.02,89.02,89.02,89.02,-
102,"Feb 17, 2023",89.02,89.02,89.02,89.02,89.02,-
103,"Feb 16, 2023",88.71,88.71,88.71,88.71,88.71,-
