,Date,Open,High,Low,Close
150,11/9/2022,"1,547.15","1,530.84","1,530.84","1,530.84"
151,11/8/2022,"1,539.41","1,547.15","1,547.15","1,547.15"
152,11/7/2022,"1,523.29","1,539.41","1,539.41","1,539.41"
153,11/4/2022,"1,514.72","1,523.29","1,523.29","1,523.29"
154,11/3/2022,"1,521.37","1,514.72","1,514.72","1,514.72"
155,11/2/2022,"1,547.57","1,521.37","1,521.37","1,521.37"
156,11/1/2022,"1,546.64","1,547.57","1,547.57","1,547.57"
157,10/31/2022,"1,547.85","1,546.64","1,546.64","1,546.64"
158,10/28/2022,"1,522.18","1,547.85","1,547.85","1,547.85"
159,10/27/2022,"1,530.99","1,522.18","1,522.18","1,522.18"
160,10/26/2022,"1,514.03","1,530.99","1,530.99","1,530.99"
161,10/25/2022,"1,502.28","1,514.03","1,514.03","1,514.03"
162,10/24/2022,"1,474.11","1,502.28","1,502.28","1,502.28"
163,10/21/2022,"1,442.25","1,474.11","1,474.11","1,474.11"
164,10/20/2022,"1,454.08","1,442.25","1,442.25","1,442.25"
165,10/19/2022,"1,474.48","1,454.08","1,454.08","1,454.08"
166,10/18/2022,"1,466.18","1,474.48","1,474.48","1,474.48"
167,10/17/2022,"1,441.15","1,466.18","1,466.18","1,466.18"
168,10/14/2022,"1,453.26","1,441.15","1,441.15","1,441.15"
169,10/13/2022,"1,421.19","1,453.26","1,453.26","1,453.26"
170,10/12/2022,"1,428.76","1,421.19","1,421.19","1,421.19"
171,10/11/2022,"1,420.46","1,428.76","1,428.76","1,428.76"
172,10/10/2022,"1,429.72","1,420.46","1,420.46","1,420.46"
173,10/7/2022,"1,460.69","1,429.72","1,429.72","1,429.72"
174,10/6/2022,"1,479.94","1,460.69","1,460.69","1,460.69"
175,10/5/2022,"1,475.06","1,479.94","1,479.94","1,479.94"
176,10/4/2022,"1,441.49","1,475.06","1,475.06","1,475.06"
177,10/3/2022,"1,411.36","1,441.49","1,441.49","1,441.49"
178,9/30/2022,"1,431.45","1,411.36","1,411.36","1,411.36"
179,9/29/2022,"1,444.73","1,431.45","1,431.45","1,431.45"
180,9/28/2022,"1,413.68","1,444.73","1,444.73","1,444.73"
181,9/27/2022,"1,416.72","1,413.68","1,413.68","1,413.68"
182,9/26/2022,"1,431.15","1,416.72","1,416.72","1,416.72"
183,9/23/2022,"1,438.87","1,431.15","1,431.15","1,431.15"
184,9/22/2022,"1,431.50","1,438.87","1,438.87","1,438.87"
185,9/21/2022,"1,456.05","1,431.50","1,431.50","1,431.50"
186,9/20/2022,"1,472.85","1,456.05","1,456.05","1,456.05"
187,9/19/2022,"1,481.14","1,473.11","1,473.11","1,473.11"
188,9/16/2022,"1,485.16","1,481.14","1,481.14","1,481.14"
189,9/15/2022,"1,477.10","1,485.16","1,485.16","1,485.16"
190,9/14/2022,"1,477.00","1,477.10","1,477.10","1,477.10"
191,9/13/2022,"1,526.98","1,477.00","1,477.00","1,477.00"
192,9/12/2022,"1,517.20","1,526.98","1,526.98","1,526.98"
193,9/9/2022,"1,504.72","1,517.20","1,517.20","1,517.20"
194,9/8/2022,"1,478.50","1,504.72","1,504.72","1,504.72"
195,9/7/2022,"1,454.24","1,478.50","1,478.50","1,478.50"
196,9/6/2022,"1,453.94","1,454.24","1,454.24","1,454.24"
197,9/2/2022,"1,475.12","1,453.94","1,453.94","1,453.94"
198,9/1/2022,"1,451.16","1,475.12","1,475.12","1,475.12"
199,8/31/2022,"1,460.37","1,451.16","1,451.16","1,451.16"
200,8/30/2022,"1,470.07","1,460.37","1,460.37","1,460.37"
201,8/29/2022,"1,480.51","1,470.07","1,470.07","1,470.07"
202,8/26/2022,"1,523.11","1,480.51","1,480.51","1,480.51"
203,8/25/2022,"1,506.51","1,523.11","1,523.11","1,523.11"
204,8/24/2022,"1,504.74","1,506.51","1,506.51","1,506.51"
205,8/23/2022,"1,525.95","1,504.74","1,504.74","1,504.74"
206,8/22/2022,"1,547.34","1,525.95","1,525.95","1,525.95"
207,8/19/2022,"1,543.10","1,547.34","1,547.34","1,547.34"
208,8/18/2022,"1,549.82","1,543.10","1,543.10","1,543.10"
209,8/17/2022,"1,559.64","1,549.82","1,549.82","1,549.82"
210,8/16/2022,"1,563.79","1,559.64","1,559.64","1,559.64"
211,8/15/2022,"1,556.18","1,563.79","1,563.79","1,563.79"
212,8/12/2022,"1,536.03","1,556.18","1,556.18","1,556.18"
213,8/11/2022,"1,547.08","1,536.03","1,536.03","1,536.03"
214,8/10/2022,"1,529.96","1,547.08","1,547.08","1,547.08"
215,8/9/2022,"1,534.48","1,529.96","1,529.96","1,529.96"
216,8/8/2022,"1,531.03","1,534.48","1,534.48","1,534.48"
217,8/5/2022,"1,531.48","1,531.03","1,531.03","1,531.03"
218,8/4/2022,"1,539.08","1,531.48","1,531.48","1,531.48"
219,8/3/2022,"1,524.99","1,539.08","1,539.08","1,539.08"
220,8/2/2022,"1,530.65","1,524.99","1,524.99","1,524.99"
221,8/1/2022,"1,541.88","1,530.65","1,530.65","1,530.65"
222,7/29/2022,"1,547.32","1,541.88","1,541.88","1,541.88"
223,7/28/2022,"1,538.91","1,547.32","1,547.32","1,547.32"
224,7/27/2022,"1,529.01","1,538.91","1,538.91","1,538.91"
225,7/26/2022,"1,520.65","1,529.01","1,529.01","1,529.01"
226,7/25/2022,"1,512.34","1,520.65","1,520.65","1,520.65"
227,7/22/2022,"1,518.19","1,512.34","1,512.34","1,512.34"
228,7/21/2022,"1,495.67","1,518.19","1,518.19","1,518.19"
229,7/20/2022,"1,511.68","1,495.67","1,495.67","1,495.67"
230,7/19/2022,"1,484.89","1,511.68","1,511.68","1,511.68"
231,7/18/2022,"1,517.51","1,484.89","1,484.89","1,484.89"
232,7/15/2022,"1,481.27","1,517.51","1,517.51","1,517.51"
233,7/14/2022,"1,486.75","1,481.27","1,481.27","1,481.27"
234,7/13/2022,"1,500.82","1,486.75","1,486.75","1,486.75"
235,7/12/2022,"1,521.01","1,500.82","1,500.82","1,500.82"
236,7/11/2022,"1,524.54","1,521.01","1,521.01","1,521.01"
237,7/8/2022,"1,520.49","1,524.54","1,524.54","1,524.54"
238,7/7/2022,"1,513.46","1,520.49","1,520.49","1,520.49"
239,7/6/2022,"1,503.56","1,513.46","1,513.46","1,513.46"
240,7/5/2022,"1,512.47","1,503.57","1,503.57","1,503.56"
241,7/1/2022,"1,494.31","1,512.47","1,512.47","1,512.47"
242,6/30/2022,"1,499.32","1,494.31","1,494.31","1,494.31"
243,6/29/2022,"1,486.34","1,499.32","1,499.32","1,499.32"
244,6/28/2022,"1,512.60","1,486.34","1,486.34","1,486.34"
245,6/27/2022,"1,506.72","1,512.60","1,512.60","1,512.60"
246,6/24/2022,"1,482.55","1,506.72","1,506.72","1,506.72"
247,6/23/2022,"1,450.41","1,482.55","1,482.55","1,482.55"
248,6/22/2022,"1,430.06","1,450.41","1,450.41","1,450.41"
249,6/21/2022,"1,393.22","1,430.06","1,430.06","1,430.06"
250,6/17/2022,"1,392.94","1,393.22","1,393.22","1,393.22"
251,6/16/2022,"1,414.45","1,392.94","1,392.94","1,392.94"
