Date,Price,Open,High,Low,Vol.,Change %
12/20/2018,275.3,274.71,278.33,271.45,,0.27%
12/19/2018,274.55,275.78,277.79,273.13,,-0.22%
12/18/2018,275.15,277.9,280.5,274.32,,-0.64%
12/17/2018,276.93,286.37,286.93,275.92,,-3.27%
12/14/2018,286.28,286.89,287.85,284.69,,-0.26%
12/13/2018,287.02,284.71,288.2,284.71,,0.88%
12/12/2018,284.51,286.62,287.75,284.36,,-0.58%
12/11/2018,286.17,285.58,287.24,284.1,,0.30%
12/10/2018,285.32,284.39,286.1,279.71,,0.30%
12/07/2018,284.46,283.32,286.24,281.27,,0.40%
12/06/2018,283.32,284.11,284.38,277.86,,-0.10%
12/04/2018,283.61,283.62,286.74,282.99,,0.15%
12/03/2018,283.19,279.62,283.22,278.11,,0.88%
11/30/2018,280.71,276.99,280.87,276.48,,1.54%
11/29/2018,276.46,276.83,276.83,273.71,,-0.15%
11/28/2018,276.87,277.52,278.06,275.92,,-0.12%
11/27/2018,277.21,274.85,277.34,273.72,,0.87%
11/26/2018,274.81,273.33,275.12,272.38,,0.54%
11/23/2018,273.34,273.1,273.99,271.56,,0.12%
11/21/2018,273.0,276.09,276.36,272.47,,-1.48%
11/20/2018,277.09,279.63,281.23,275.65,,-0.51%
11/19/2018,278.5,276.56,278.66,275.8,,0.52%
11/16/2018,277.07,276.13,278.03,275.26,,1.31%
11/15/2018,273.5,273.65,274.31,270.86,,-0.77%
11/14/2018,275.62,276.16,278.08,274.86,,-1.13%
11/13/2018,278.77,277.63,279.44,275.59,,0.35%
11/12/2018,277.81,275.55,280.69,273.75,,-0.03%
11/09/2018,277.9,277.52,279.21,276.14,,0.09%
11/08/2018,277.64,278.43,279.2,275.33,,-0.27%
11/07/2018,278.38,276.04,278.61,275.01,,1.08%
11/06/2018,275.4,273.4,275.68,272.71,,0.76%
11/05/2018,273.31,270.52,274.33,270.23,,1.39%
11/02/2018,269.55,272.17,272.44,267.79,,-0.51%
11/01/2018,270.94,272.69,272.8,269.31,,-0.53%
10/31/2018,272.38,273.62,274.98,270.71,,-1.15%
10/30/2018,275.55,275.7,277.22,272.47,,0.29%
10/29/2018,274.75,271.74,275.77,271.66,,1.35%
10/26/2018,271.09,276.92,278.03,269.04,,-1.70%
10/25/2018,275.78,278.64,278.64,274.62,,-1.50%
10/24/2018,279.97,274.88,281.53,273.91,,2.30%
10/23/2018,273.68,275.49,277.3,272.52,,-0.52%
10/22/2018,275.1,277.02,277.4,274.5,,-0.68%
10/19/2018,276.99,272.75,278.34,272.75,,1.58%
10/18/2018,272.69,272.83,274.29,271.27,,0.08%
10/17/2018,272.47,272.64,273.52,270.79,,-0.15%
10/16/2018,272.89,269.87,274.22,268.75,,1.16%
10/15/2018,269.75,268.94,271.61,268.57,,0.35%
10/12/2018,268.8,268.61,269.46,266.47,,0.06%
10/11/2018,268.63,274.78,275.37,267.7,,-1.97%
10/10/2018,274.03,275.5,278.45,273.93,,-0.53%
10/09/2018,275.5,274.85,276.74,273.87,,0.42%
10/08/2018,274.34,272.85,276.21,272.01,,0.77%
10/05/2018,272.24,268.06,272.98,268.05,,1.57%
10/04/2018,268.04,266.22,268.48,264.05,,0.54%
10/03/2018,266.59,269.76,270.78,264.37,,-1.23%
10/02/2018,269.9,267.13,270.53,267.13,,1.29%
10/01/2018,266.47,266.78,266.78,265.24,,-0.30%
09/28/2018,267.28,263.92,267.29,263.92,,1.51%
09/27/2018,263.31,261.01,264.65,260.68,,0.96%
09/26/2018,260.81,263.7,264.53,260.62,,-1.04%
09/25/2018,263.56,266.35,266.35,262.84,,-1.22%
09/24/2018,266.82,268.96,269.28,266.7,,-0.88%
09/21/2018,269.2,268.12,270.23,266.58,,0.39%
09/20/2018,268.15,267.54,268.35,265.1,,0.12%
09/19/2018,267.83,273.87,273.87,266.52,,-2.12%
09/18/2018,273.64,274.18,274.67,272.48,,-0.21%
09/17/2018,274.22,273.63,274.58,272.71,,0.30%
09/14/2018,273.39,274.07,274.07,271.02,,-0.54%
09/13/2018,274.87,272.94,274.93,271.42,,0.77%
09/12/2018,272.77,272.93,274.52,272.3,,-0.09%
09/11/2018,273.01,273.85,274.78,272.58,,-0.35%
09/10/2018,273.96,272.98,274.91,272.89,,0.58%
09/07/2018,272.37,273.95,274.54,271.85,,-1.20%
09/06/2018,275.68,274.52,276.86,273.77,,0.39%
09/05/2018,274.62,271.35,274.81,271.29,,1.27%
09/04/2018,271.17,270.38,272.38,270.38,,0.55%
08/31/2018,269.7,270.93,272.33,268.69,,-0.45%
08/30/2018,270.91,270.83,272.3,269.95,,0.13%
08/29/2018,270.56,269.54,270.68,269.06,,0.59%
08/28/2018,268.98,269.21,269.88,268.22,,-0.21%
08/27/2018,269.55,271.56,272.14,268.27,,-0.64%
08/24/2018,271.28,270.29,271.5,268.76,,0.44%
08/23/2018,270.1,270.17,271.96,269.58,,-0.01%
08/22/2018,270.14,272.38,272.55,269.27,,-0.78%
08/21/2018,272.25,274.08,274.08,271.51,,-0.72%
08/20/2018,274.22,275.24,275.42,273.64,,-0.35%
08/17/2018,275.17,273.92,276.45,273.17,,0.38%
08/16/2018,274.12,270.76,274.25,270.03,,1.12%
08/15/2018,271.09,269.43,272.99,269.2,,0.76%
08/14/2018,269.04,268.33,269.98,268.23,,0.17%
08/13/2018,268.59,268.34,269.06,267.37,,0.09%
08/10/2018,268.35,269.92,271.68,268.22,,-0.40%
08/09/2018,269.44,268.02,269.6,267.21,,0.41%
08/08/2018,268.35,269.29,269.29,267.47,,-0.54%
08/07/2018,269.8,269.98,270.31,267.76,,-0.22%
08/06/2018,270.39,270.07,271.85,269.8,,0.13%
08/03/2018,270.05,267.29,270.81,266.29,,1.03%
08/02/2018,267.29,265.67,267.93,264.16,,0.53%
08/01/2018,265.88,266.66,266.66,263.6,,-0.83%
07/31/2018,268.11,266.01,268.37,265.44,,1.06%
07/30/2018,265.29,266.61,266.61,264.46,,-0.60%
07/27/2018,266.89,268.09,269.13,265.94,,-0.41%
07/26/2018,267.99,266.48,268.52,266.36,,1.14%
07/25/2018,264.96,264.14,266.27,263.37,,0.26%
07/24/2018,264.26,262.7,265.01,259.55,,0.34%
07/23/2018,263.37,265.53,265.72,262.42,,-0.64%
07/20/2018,265.06,266.66,266.8,263.41,,-0.76%
07/19/2018,267.08,265.38,268.59,265.38,,0.93%
07/18/2018,264.61,265.88,265.96,263.5,,-0.50%
07/17/2018,265.94,266.42,267.0,265.73,,-0.06%
07/16/2018,266.11,266.46,266.81,264.86,,-0.15%
07/13/2018,266.51,266.59,267.25,264.65,,0.06%
07/12/2018,266.35,266.25,266.89,265.0,,0.09%
07/11/2018,266.12,263.81,266.6,263.81,,0.87%
07/10/2018,263.83,260.33,265.15,258.86,,0.98%
07/09/2018,261.28,269.72,269.72,260.39,,-3.13%
07/06/2018,269.71,267.69,270.08,267.69,,0.74%
07/05/2018,267.74,266.26,267.77,265.2,,0.63%
07/03/2018,266.06,265.22,267.7,264.25,,0.25%
07/02/2018,265.39,263.49,265.49,262.42,,0.79%
06/29/2018,263.3,262.82,264.53,261.21,,0.03%
06/28/2018,263.22,263.61,265.64,262.83,,-0.02%
06/27/2018,263.26,261.73,263.84,261.19,,0.58%
